name,description,category_parent,category_name,category_slug,tags,price,rarity,reality_type,status,catalog_version,generation_seed,danger,luxury,novelty,historical_value,technology_level,natural_significance,fantasy_level,space_affinity,power
Luminous Impossible Device,This speculative impossible technology combines technology character with impossible value and powerful appeal.,Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|artificial,31270000000000,0.719,speculative,available,synthetic_product_v1,42,0.6374,0.9086,1.0,0.2806,0.92,0.0331,0.5913,0.1332,0.9506
Forgotten Impossible Device,"Forgotten Impossible Device is a speculative impossible technology selected for its technology, impossible, and powerful qualities.",Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|valuable|artificial,9617000000000,0.9001,speculative,available,synthetic_product_v1,42,0.6455,0.8119,1.0,0.3146,0.9501,0.1204,0.7177,0.1176,1.0
Celestial Impossible Device,"Celestial Impossible Device is a fictional impossible technology selected for its technology, impossible, and powerful qualities.",Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|valuable|scientific,7919000000000,0.7778,fictional,available,synthetic_product_v1,42,0.7243,0.8544,0.9521,0.2803,1.0,0.1177,0.6514,0.2709,1.0
Flying Car,"A singular vehicle known for being technology, artificial, and unusually luxury.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful,7183000000,0.5792,speculative,available,synthetic_product_v1,42,0.7339,0.8535,0.6488,0.5023,1.0,0.1095,0.2845,0.1736,0.7346
Personal Submarine,"A singular vehicle known for being technology, artificial, and unusually luxury.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful,7746000000,0.6381,speculative,available,synthetic_product_v1,42,0.6599,0.7594,0.6992,0.3181,0.8456,0.1674,0.1736,0.2343,0.8029
Supersonic Train,"A singular vehicle known for being technology, artificial, and unusually luxury.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful,75560000000,0.746,speculative,coming_soon,synthetic_product_v1,42,0.767,0.7489,0.7921,0.3883,0.7669,0.2087,0.2052,0.1228,0.8435
Crimson Concept Vehicle,"Crimson Concept Vehicle is a speculative vehicle selected for its technology, artificial, and luxury qualities.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|scientific,22610000000,0.7908,speculative,available,synthetic_product_v1,42,0.6224,0.7973,0.6798,0.4137,0.8865,0.1944,0.2006,0.2005,0.7599
Silent Concept Vehicle,"A singular vehicle known for being technology, artificial, and unusually luxury.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|valuable|scientific,3082000000,0.6846,speculative,available,synthetic_product_v1,42,0.7112,0.8083,0.7961,0.4126,0.8583,0.0924,0.0645,0.2349,0.6778
Golden Concept Vehicle,This real vehicle combines technology character with artificial value and luxury appeal.,Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|valuable,5947000000,0.7237,real,sold_out,synthetic_product_v1,42,0.7117,0.8885,0.6469,0.4084,0.7801,0.1277,0.1066,0.1276,0.7597
Obsidian Concept Vehicle,This real vehicle combines technology character with artificial value and luxury appeal.,Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|scientific|valuable,4629000000,0.682,real,available,synthetic_product_v1,42,0.7608,0.893,0.7791,0.4858,0.825,0.1121,0.1911,0.1928,0.6944
Luminous Concept Vehicle,"Luminous Concept Vehicle is a speculative vehicle selected for its technology, artificial, and luxury qualities.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|valuable|scientific,47240000000,0.6696,speculative,available,synthetic_product_v1,42,0.5778,0.8424,0.6094,0.4149,0.8451,0.1627,0.1999,0.155,0.7551
Forgotten Concept Vehicle,This speculative vehicle combines technology character with artificial value and luxury appeal.,Technology,Vehicle,vehicle,technology|artificial|luxury|powerful,25360000000,0.5345,speculative,sold_out,synthetic_product_v1,42,0.6436,0.7905,0.7398,0.5114,0.92,0.1283,0.034,0.0535,0.8472
Celestial Concept Vehicle,"A singular vehicle known for being technology, artificial, and unusually luxury.",Technology,Vehicle,vehicle,technology|artificial|luxury|powerful|scientific,1723000000,0.5726,speculative,available,synthetic_product_v1,42,0.6745,0.7754,0.7209,0.4249,0.9149,0.1471,0.3256,0.2794,0.8055
Quantum Computer,This real machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,145100000,0.7246,real,available,synthetic_product_v1,42,0.4259,0.7009,0.8099,0.3754,1.0,0.095,0.2186,0.1247,0.7369
Weather Machine,This speculative machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,376800000,0.6615,speculative,available,synthetic_product_v1,42,0.5358,0.7184,0.7441,0.3803,0.8961,0.0342,0.2545,0.1453,0.8145
Dream Recorder,This speculative machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,457400000,0.5322,speculative,available,synthetic_product_v1,42,0.4107,0.7169,0.6311,0.4109,1.0,0.1786,0.2429,0.0554,0.8269
Crimson Experimental Machine,"A singular machine & device known for being technology, artificial, and unusually scientific.",Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable|rare|mysterious,4361000000,0.8125,real,unavailable,synthetic_product_v1,42,0.276,0.7048,0.8405,0.3652,0.9127,0.0445,0.218,0.1185,0.7223
Silent Experimental Machine,This real machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,5149000000,0.7889,real,available,synthetic_product_v1,42,0.4073,0.7813,0.7333,0.4323,0.9362,0.1271,0.3398,0.2112,0.7409
Golden Experimental Machine,"Golden Experimental Machine is a speculative machine & device selected for its technology, artificial, and scientific qualities.",Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,1718000000,0.8472,speculative,sold_out,synthetic_product_v1,42,0.3445,0.6203,0.7917,0.5019,0.8866,0.0179,0.1199,0.1169,0.7188
Obsidian Experimental Machine,"A singular machine & device known for being technology, artificial, and unusually scientific.",Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable|exclusive|powerful,832100000,0.6343,speculative,available,synthetic_product_v1,42,0.3411,0.7861,0.6987,0.3813,0.8374,0.1038,0.3071,0.085,0.8713
Luminous Experimental Machine,This real machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,1135000000,0.602,real,available,synthetic_product_v1,42,0.5037,0.6679,0.6783,0.443,0.9066,0.1359,0.2397,0.2515,0.7406
Forgotten Experimental Machine,This speculative machine & device combines technology character with artificial value and scientific appeal.,Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable,461200000,0.6424,speculative,available,synthetic_product_v1,42,0.3838,0.6443,0.6684,0.3944,1.0,0.1911,0.2305,0.0606,0.8023
Celestial Experimental Machine,"Celestial Experimental Machine is a speculative machine & device selected for its technology, artificial, and scientific qualities.",Technology,Machine & Device,machine-device,technology|artificial|scientific|valuable|powerful|exclusive,521700000,0.6996,speculative,available,synthetic_product_v1,42,0.6129,0.6901,0.6272,0.3814,1.0,0.154,0.257,0.1022,0.8596
Private Island,"Private Island is a real island selected for its natural, exclusive, and beautiful qualities.",Geography,Island,island,natural|exclusive|beautiful|unexplored,98740000000000,0.6788,real,available,synthetic_product_v1,42,0.185,0.7445,0.7001,0.5425,0.1006,0.9405,0.2468,0.0,0.6404
Easter Island,This real island combines natural character with exclusive value and beautiful appeal.,Geography,Island,island,natural|exclusive|beautiful|unexplored|valuable|luxury,229000000000000,0.7705,real,available,synthetic_product_v1,42,0.2729,0.8182,0.7752,0.5842,0.0,0.9302,0.2429,0.065,0.6037
Surtsey,"Surtsey is a speculative island selected for its natural, exclusive, and beautiful qualities.",Geography,Island,island,natural|exclusive|beautiful|unexplored|luxury|valuable,827700000000000,0.8422,speculative,available,synthetic_product_v1,42,0.2265,0.894,0.7451,0.615,0.1131,0.897,0.3015,0.0,0.5733
Crimson Hidden Island,"Crimson Hidden Island is a real island selected for its natural, exclusive, and beautiful qualities.",Geography,Island,island,natural|exclusive|beautiful|unexplored,221200000000000,0.6348,real,available,synthetic_product_v1,42,0.3651,0.7105,0.7677,0.6887,0.0702,0.8714,0.2305,0.1463,0.6289
Silent Hidden Island,"Silent Hidden Island is a fictional island selected for its natural, exclusive, and beautiful qualities.",Geography,Island,island,natural|exclusive|beautiful|unexplored|luxury,71410000000000,0.5776,fictional,available,synthetic_product_v1,42,0.3644,0.8441,0.7544,0.6243,0.1948,1.0,0.1151,0.0,0.7298
Golden Hidden Island,"A singular island known for being natural, exclusive, and unusually beautiful.",Geography,Island,island,natural|exclusive|beautiful|unexplored|rare,91790000000000,0.6627,real,available,synthetic_product_v1,42,0.275,0.7038,0.8447,0.6009,0.0833,0.9743,0.2529,0.0257,0.5792
Obsidian Hidden Island,"A singular island known for being natural, exclusive, and unusually beautiful.",Geography,Island,island,natural|exclusive|beautiful|unexplored|luxury|mysterious,199100000000000,0.7421,real,available,synthetic_product_v1,42,0.1804,0.8113,0.8317,0.5205,0.1294,0.8955,0.2173,0.0076,0.5961
Luminous Hidden Island,This real island combines natural character with exclusive value and beautiful appeal.,Geography,Island,island,natural|exclusive|beautiful|unexplored|valuable,54580000000000,0.6644,real,available,synthetic_product_v1,42,0.2552,0.8041,0.728,0.6073,0.0957,0.9844,0.2772,0.0655,0.5873
Pacific Ocean,"The world's largest ocean, including its depths and weather systems.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|mysterious|luxury,14810000000000000000000,0.7786,real,available,synthetic_product_v1,42,0.7667,0.8094,0.8357,0.6292,0.0677,1.0,0.1179,0.0839,0.8884
Mediterranean Sea,This real ocean & sea combines natural character with massive value and dangerous appeal.,Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|exclusive,11620000000000000000000,0.7614,real,available,synthetic_product_v1,42,0.7911,0.9041,0.8125,0.5898,0.1475,0.9643,0.11,0.0024,0.8661
Mariana Trench,"Mariana Trench is a fictional ocean & sea selected for its natural, massive, and dangerous qualities.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored,7042000000000000000000,0.6907,fictional,available,synthetic_product_v1,42,0.7943,0.7823,0.9424,0.6672,0.1038,1.0,0.1622,0.0,0.9968
Crimson Uncharted Sea,"Crimson Uncharted Sea is a real ocean & sea selected for its natural, massive, and dangerous qualities.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored,4458000000000000000000,0.82,real,available,synthetic_product_v1,42,0.7317,0.8053,0.7658,0.5753,0.1192,0.979,0.1819,0.0,0.8744
Silent Uncharted Sea,"Silent Uncharted Sea is a real ocean & sea selected for its natural, massive, and dangerous qualities.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|valuable|rare,4482000000000000000000,0.8247,real,available,synthetic_product_v1,42,0.688,1.0,0.8891,0.5848,0.0586,0.8539,0.1939,0.0,0.824
Golden Uncharted Sea,"A singular ocean & sea known for being natural, massive, and unusually dangerous.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|destructive,20630000000000000000000,0.7814,speculative,available,synthetic_product_v1,42,0.7882,0.8344,0.8973,0.6399,0.0,1.0,0.2674,0.0,0.9502
Obsidian Uncharted Sea,"A singular ocean & sea known for being natural, massive, and unusually dangerous.",Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|exclusive|destructive,8688000000000000000000,0.6569,real,available,synthetic_product_v1,42,0.8412,0.8814,0.7923,0.6835,0.0369,0.9728,0.2663,0.02,0.9719
Luminous Uncharted Sea,This real ocean & sea combines natural character with massive value and dangerous appeal.,Geography,Ocean & Sea,ocean-sea,natural|massive|dangerous|unexplored|rare,20720000000000000000000,0.7502,real,available,synthetic_product_v1,42,0.7415,0.7717,0.8957,0.8104,0.0515,1.0,0.2446,0.0703,0.9456
Antarctica,This fictional land & territory combines natural character with massive value and powerful appeal.,Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|exclusive|luxury,48610000000000000000000,0.6265,fictional,available,synthetic_product_v1,42,0.3524,0.8945,0.7026,0.7615,0.1512,0.9168,0.039,0.0,0.8956
Sahara Desert,"A singular land & territory known for being natural, massive, and unusually powerful.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|luxury,88930000000000000000000,0.5503,real,available,synthetic_product_v1,42,0.4551,0.888,0.6503,0.7918,0.1456,0.9898,0.1114,0.0105,0.8961
Amazon Rainforest,"A singular land & territory known for being natural, massive, and unusually powerful.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable,95380000000000000000000,0.7701,real,available,synthetic_product_v1,42,0.4421,0.9407,0.75,0.6801,0.0516,0.8835,0.1849,0.0,0.9161
Crimson Remote Territory,"Crimson Remote Territory is a real land & territory selected for its natural, massive, and powerful qualities.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|luxury|exclusive,60640000000000000000000,0.7597,real,unavailable,synthetic_product_v1,42,0.3048,0.8112,0.7714,0.7277,0.1216,1.0,0.0624,0.0,0.8864
Silent Remote Territory,"A singular land & territory known for being natural, massive, and unusually powerful.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|exclusive|luxury,13460000000000000000000,0.7058,real,available,synthetic_product_v1,42,0.4503,0.8616,0.6908,0.6468,0.1284,0.9582,0.0683,0.0242,0.9709
Golden Remote Territory,"A singular land & territory known for being natural, massive, and unusually powerful.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|luxury,206200000000000000000000,0.8005,real,available,synthetic_product_v1,42,0.4979,0.9734,0.7005,0.6954,0.171,0.9497,0.0805,0.0975,0.7573
Obsidian Remote Territory,This speculative land & territory combines natural character with massive value and powerful appeal.,Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|luxury|exclusive,1284000000000000000000000,0.8009,speculative,sold_out,synthetic_product_v1,42,0.3316,0.8191,0.7392,0.7759,0.0,0.9788,0.0706,0.0,0.9324
Luminous Remote Territory,This real land & territory combines natural character with massive value and powerful appeal.,Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|luxury,85560000000000000000000,0.7208,real,available,synthetic_product_v1,42,0.414,0.8678,0.7,0.6831,0.1488,0.9691,0.0937,0.0,0.9746
Forgotten Remote Territory,"A singular land & territory known for being natural, massive, and unusually powerful.",Geography,Land & Territory,land-territory,natural|massive|powerful|valuable|exclusive|luxury,72090000000000000000000,0.7551,real,available,synthetic_product_v1,42,0.4668,0.812,0.7274,0.771,0.0803,0.8978,0.1449,0.0575,0.9257
Dragon Egg,"A singular magical item known for being fantasy, mysterious, and unusually legendary.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible,449900000000,0.7201,fictional,available,synthetic_product_v1,42,0.6682,0.8063,0.8134,0.7523,0.1344,0.1323,0.9765,0.1476,0.8171
Philosopher's Stone,"Philosopher's Stone is a speculative magical item selected for its fantasy, mysterious, and legendary qualities.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|valuable|rare,51430000000,0.9559,speculative,available,synthetic_product_v1,42,0.6153,0.9392,1.0,0.7186,0.0965,0.3424,0.9961,0.1407,0.8128
Invisibility Cloak,"A singular magical item known for being fantasy, mysterious, and unusually legendary.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|valuable,600100000000,0.8613,fictional,available,synthetic_product_v1,42,0.6863,0.9291,0.9336,0.5422,0.0743,0.2122,1.0,0.1254,0.927
Crimson Enchanted Artifact,"A singular magical item known for being fantasy, mysterious, and unusually legendary.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|rare|luxury,228900000000,0.9317,fictional,available,synthetic_product_v1,42,0.6627,0.9496,0.9876,0.6306,0.1608,0.2513,0.8779,0.0384,0.7741
Silent Enchanted Artifact,This fictional magical item combines fantasy character with mysterious value and legendary appeal.,Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|luxury|rare,155100000000,0.8772,fictional,available,synthetic_product_v1,42,0.5476,0.8532,0.9783,0.7855,0.1212,0.2257,0.9924,0.04,0.7461
Golden Enchanted Artifact,This fictional magical item combines fantasy character with mysterious value and legendary appeal.,Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|exclusive|powerful,342900000000,0.8028,fictional,available,synthetic_product_v1,42,0.569,0.8671,0.9238,0.5772,0.1589,0.2243,0.8871,0.1043,0.914
Obsidian Enchanted Artifact,This fictional magical item combines fantasy character with mysterious value and legendary appeal.,Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|rare|exclusive,67470000000,0.869,fictional,available,synthetic_product_v1,42,0.5549,0.7994,1.0,0.6185,0.1242,0.2025,0.9986,0.1185,0.9565
Luminous Enchanted Artifact,"Luminous Enchanted Artifact is a speculative magical item selected for its fantasy, mysterious, and legendary qualities.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible,48300000000,0.8226,speculative,available,synthetic_product_v1,42,0.5651,0.8714,1.0,0.6842,0.213,0.137,0.9853,0.0181,0.7579
Forgotten Enchanted Artifact,"A singular magical item known for being fantasy, mysterious, and unusually legendary.",Fantasy,Magical Item,magical-item,fantasy|mysterious|legendary|collectible|exclusive|luxury,335500000000,0.9614,fictional,available,synthetic_product_v1,42,0.5147,0.9257,0.9111,0.7496,0.0981,0.1673,0.9736,0.0024,0.9328
Flight,"Flight is a speculative superpower selected for its fantasy, powerful, and impossible qualities.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive|legendary|mysterious,4910000000,0.7651,speculative,available,synthetic_product_v1,42,0.7734,0.73,0.9172,0.3134,0.1834,0.0512,1.0,0.0932,0.9746
Telepathy,"Telepathy is a fictional superpower selected for its fantasy, powerful, and impossible qualities.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive,7868000000,0.7334,fictional,available,synthetic_product_v1,42,0.7525,0.8234,0.9725,0.2749,0.2665,0.0462,0.8639,0.1031,0.996
Invulnerability,"A singular superpower known for being fantasy, powerful, and unusually impossible.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive|destructive|mysterious,11530000000,0.8832,fictional,available,synthetic_product_v1,42,0.856,0.9102,0.9812,0.316,0.1805,0.0747,1.0,0.1115,1.0
Crimson Impossible Ability,"Crimson Impossible Ability is a fictional superpower selected for its fantasy, powerful, and impossible qualities.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive|legendary|rare,13580000000,0.7168,fictional,available,synthetic_product_v1,42,0.8303,0.7621,0.9343,0.1746,0.2086,0.1035,1.0,0.0869,0.9958
Silent Impossible Ability,"A singular superpower known for being fantasy, powerful, and unusually impossible.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive|rare,4895000000,0.8706,speculative,available,synthetic_product_v1,42,0.6842,0.6498,0.9875,0.1274,0.2765,0.1251,1.0,0.2304,1.0
Golden Impossible Ability,"A singular superpower known for being fantasy, powerful, and unusually impossible.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive,3049000000,0.8167,fictional,available,synthetic_product_v1,42,0.7177,0.6491,0.9785,0.2971,0.189,0.1198,1.0,0.0653,1.0
Obsidian Impossible Ability,"Obsidian Impossible Ability is a fictional superpower selected for its fantasy, powerful, and impossible qualities.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive,13800000000,0.8216,fictional,available,synthetic_product_v1,42,0.7827,0.8043,1.0,0.2964,0.0609,0.2196,1.0,0.1367,1.0
Luminous Impossible Ability,"A singular superpower known for being fantasy, powerful, and unusually impossible.",Fantasy,Superpower,superpower,fantasy|powerful|impossible|exclusive,25170000000,0.8634,fictional,available,synthetic_product_v1,42,0.7668,0.766,1.0,0.2048,0.1711,0.1623,0.9403,0.009,1.0
Excalibur,This fictional fictional object combines fantasy character with collectible value and legendary appeal.,Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|mysterious,91370000000,0.9067,fictional,available,synthetic_product_v1,42,0.6581,0.9902,0.9962,0.4547,0.4926,0.0862,0.9516,0.1456,0.877
One Ring,This fictional fictional object combines fantasy character with collectible value and legendary appeal.,Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|luxury,40930000000,0.7786,fictional,sold_out,synthetic_product_v1,42,0.5224,0.8537,0.8997,0.5954,0.3775,0.0593,0.9511,0.4082,0.8376
Pandora's Box,"A singular fictional object known for being fantasy, collectible, and unusually legendary.",Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable,70270000000,0.783,fictional,coming_soon,synthetic_product_v1,42,0.5965,0.9365,0.9643,0.6666,0.4717,0.1272,1.0,0.1398,0.8608
Crimson Legendary Object,"Crimson Legendary Object is a fictional fictional object selected for its fantasy, collectible, and legendary qualities.",Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|powerful|luxury,125800000000,0.8571,fictional,available,synthetic_product_v1,42,0.474,0.9483,0.9728,0.5166,0.3516,0.0853,0.9035,0.0637,0.9494
Silent Legendary Object,This fictional fictional object combines fantasy character with collectible value and legendary appeal.,Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable,35180000000,0.8377,fictional,sold_out,synthetic_product_v1,42,0.5422,0.7922,0.958,0.4612,0.3726,0.1281,0.9842,0.2423,0.7262
Golden Legendary Object,This fictional fictional object combines fantasy character with collectible value and legendary appeal.,Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|mysterious,44820000000,0.7668,fictional,available,synthetic_product_v1,42,0.5262,0.8683,0.9387,0.5834,0.537,0.2824,0.993,0.0403,0.8262
Obsidian Legendary Object,"Obsidian Legendary Object is a fictional fictional object selected for its fantasy, collectible, and legendary qualities.",Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|powerful,30590000000,0.864,fictional,available,synthetic_product_v1,42,0.5891,0.9511,0.9511,0.4363,0.394,0.161,0.8666,0.2235,0.9018
Luminous Legendary Object,"A singular fictional object known for being fantasy, collectible, and unusually legendary.",Fantasy,Fictional Object,fictional-object,fantasy|collectible|legendary|valuable|exclusive|mysterious,44280000000,0.6684,fictional,available,synthetic_product_v1,42,0.5921,0.7629,0.9424,0.4917,0.4945,0.1532,0.9289,0.1434,0.8739
Mona Lisa,"A singular artwork known for being cultural, beautiful, and unusually collectible.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|luxury,36960000000,0.7448,real,coming_soon,synthetic_product_v1,42,0.0591,0.8635,0.7862,0.8706,0.0671,0.2024,0.3536,0.0,0.5851
The Starry Night,"The Starry Night is a real artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable,14320000000,0.8366,real,available,synthetic_product_v1,42,0.1136,0.9717,0.8678,0.7858,0.0509,0.3607,0.4795,0.0,0.464
David,"David is a real artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable,34530000000,0.7047,real,available,synthetic_product_v1,42,0.1446,1.0,0.6635,0.8209,0.1038,0.2535,0.4368,0.0,0.5268
Crimson Masterpiece,"Crimson Masterpiece is a real artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|luxury,90740000000,0.8188,real,available,synthetic_product_v1,42,0.1258,0.9975,0.809,0.9117,0.1265,0.2611,0.3046,0.0065,0.6185
Silent Masterpiece,"A singular artwork known for being cultural, beautiful, and unusually collectible.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|historic|luxury,78460000000,0.8303,historical,available,synthetic_product_v1,42,0.1725,0.9576,0.7508,0.9505,0.191,0.1864,0.3761,0.0,0.6175
Golden Masterpiece,"Golden Masterpiece is a historical artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|historic|luxury,64240000000,0.5995,historical,available,synthetic_product_v1,42,0.0572,0.929,0.6803,0.9121,0.1605,0.1863,0.3293,0.0,0.3831
Obsidian Masterpiece,"A singular artwork known for being cultural, beautiful, and unusually collectible.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|historic|luxury,27670000000,0.8797,real,available,synthetic_product_v1,42,0.0794,0.9979,0.7486,0.9193,0.1449,0.2913,0.3984,0.0253,0.5066
Luminous Masterpiece,"A singular artwork known for being cultural, beautiful, and unusually collectible.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|historic,76920000000,0.7763,historical,available,synthetic_product_v1,42,0.1489,0.8883,0.7089,0.8449,0.1235,0.1177,0.4063,0.0,0.5996
Forgotten Masterpiece,"Forgotten Masterpiece is a historical artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|historic,31930000000,0.5406,historical,coming_soon,synthetic_product_v1,42,0.0647,0.9023,0.63,0.8106,0.1567,0.126,0.4516,0.0,0.4902
Celestial Masterpiece,"Celestial Masterpiece is a real artwork selected for its cultural, beautiful, and collectible qualities.",Art & Culture,Artwork,artwork,cultural|beautiful|collectible|valuable|luxury|historic,9976000000,0.8112,real,available,synthetic_product_v1,42,0.0394,1.0,0.6533,0.966,0.2121,0.1232,0.4461,0.0,0.5165
Imperial Regalia,"Imperial Regalia is a real cultural treasure selected for its cultural, historic, and rare qualities.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable,8215000000000,0.572,real,available,synthetic_product_v1,42,0.2515,0.8375,0.6912,0.9374,0.1435,0.358,0.3898,0.0936,0.741
Library of Alexandria,"A singular cultural treasure known for being cultural, historic, and unusually rare.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,1980000000000,0.6089,real,available,synthetic_product_v1,42,0.2205,0.9043,0.6223,1.0,0.1008,0.3034,0.2326,0.0888,0.6797
Terracotta Army,This historical cultural treasure combines cultural character with historic value and rare appeal.,Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,18310000000000,0.8873,historical,unavailable,synthetic_product_v1,42,0.1687,0.9713,0.768,0.9994,0.0507,0.236,0.4127,0.0441,0.7723
Crimson Cultural Treasure,"A singular cultural treasure known for being cultural, historic, and unusually rare.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,6116000000000,0.8109,real,available,synthetic_product_v1,42,0.3123,0.9142,0.651,0.9914,0.2297,0.2005,0.3432,0.0,0.6982
Silent Cultural Treasure,"A singular cultural treasure known for being cultural, historic, and unusually rare.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,2009000000000,0.6095,historical,available,synthetic_product_v1,42,0.2116,0.8746,0.7246,0.9386,0.0896,0.501,0.3616,0.1216,0.674
Golden Cultural Treasure,"Golden Cultural Treasure is a historical cultural treasure selected for its cultural, historic, and rare qualities.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,596400000000,0.5686,historical,available,synthetic_product_v1,42,0.118,0.8001,0.6428,1.0,0.1927,0.2157,0.4151,0.0895,0.795
Obsidian Cultural Treasure,"Obsidian Cultural Treasure is a historical cultural treasure selected for its cultural, historic, and rare qualities.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable|luxury,34450000000000,0.7197,historical,available,synthetic_product_v1,42,0.0138,0.896,0.7176,0.9867,0.1613,0.2279,0.2682,0.0386,0.7973
Luminous Cultural Treasure,"A singular cultural treasure known for being cultural, historic, and unusually rare.",Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable,9993000000000,0.7589,historical,available,synthetic_product_v1,42,0.2717,0.788,0.6624,1.0,0.1849,0.2862,0.3895,0.0,0.74
Forgotten Cultural Treasure,This historical cultural treasure combines cultural character with historic value and rare appeal.,Art & Culture,Cultural Treasure,cultural-treasure,cultural|historic|rare|valuable,1402000000000,0.588,historical,available,synthetic_product_v1,42,0.3298,0.7809,0.715,0.9403,0.2123,0.2183,0.3573,0.087,0.7305
